Trial Phase,Trial Number,Time,Position X,Position Y,Position Z
21,1,42.54893,-1.074297,-0.9099827,-0.8484533
21,1,42.65989,-1.153197,-0.9099823,-0.7874828
21,1,42.77105,-1.089602,-0.9099822,-0.7923072
21,1,42.88205,-1.064174,-0.9099798,-0.6339954
21,1,42.99319,-1.395831,-0.9099764,-0.3184345
21,1,43.09351,-1.312364,-0.9099765,-0.1814188
21,1,43.20481,-1.044657,-0.9099824,-0.09725237
21,1,43.31538,-1.120714,-0.909981,0.009761691
21,1,43.41542,-1.121018,-0.9099811,0.1260019
21,1,43.51543,-1.161183,-0.9099769,0.4547571
21,1,43.62708,-1.298391,-0.9099753,0.5905192
21,1,43.73758,-1.136553,-0.9099822,0.4897283
21,1,43.84949,-1.078355,-0.9099822,0.5583698
21,1,43.95985,-1.152898,-0.9099787,0.6388547
21,1,44.07093,-1.098069,-0.9099754,0.6614584
21,1,44.17278,-1.177181,-0.9099756,0.6985316
21,1,44.28212,-1.529993,-0.9099761,0.7585696
21,1,44.38224,-1.855044,-0.9099761,0.8086362
21,1,44.48235,-2.075526,-0.9099753,0.8498879
21,1,44.593,-2.150381,-0.9099752,0.8524038
21,1,44.69301,-2.07143,-0.9099754,0.8011315
21,1,44.80422,-1.763303,-0.9099759,0.6939359
21,1,44.90427,-1.279006,-0.909977,0.5805487
21,1,45.00428,-1.040855,-0.9099826,0.452409
21,1,45.10441,-1.04175,-0.9099828,0.5093811
21,1,45.21529,-1.120094,-0.9099817,0.4896859
21,1,45.31824,-1.141314,-0.9099829,0.4903398
21,1,45.42646,-1.056548,-0.9099832,0.4938626
21,1,45.5266,-1.057538,-0.9099824,0.4811432
21,1,45.63791,-1.138956,-0.9099811,0.4407714
21,1,45.74878,-1.073259,-0.9099815,0.3784461
21,1,45.85983,-1.152807,-0.9099822,0.3168017
21,1,45.97078,-1.087614,-0.9099824,0.2886104
21,1,46.07084,-1.0881,-0.9099829,0.2261117
21,1,46.17139,-1.092024,-0.9099823,0.099814
21,1,46.28183,-1.023176,-0.9099808,-0.009387791
21,1,46.38188,-1.023587,-0.9099796,-0.1152352
21,1,46.49302,-1.103765,-0.9099798,-0.2493708
21,1,46.5932,-1.1051,-0.9099818,-0.4306714
21,1,46.69322,-1.105176,-0.9099803,-0.571344
21,1,46.79354,-1.107542,-0.9099815,-0.6608639
21,1,46.89402,-1.110978,-0.9099828,-0.776665
21,1,47.00515,-1.047092,-0.9099829,-0.9126127
21,1,47.11523,-1.1197,-0.9099823,-1.067146
21,1,47.21541,-0.7012216,-0.9099776,-1.268654
21,1,47.31583,-0.4483959,-0.9099754,-1.34385
21,1,47.42652,-0.1864848,-0.9099758,-1.350617
21,1,47.53797,0.1278705,-0.9099758,-1.365387
21,1,47.64849,0.5460839,-0.9099761,-1.367393
21,1,47.75968,0.9600657,-0.9099769,-1.333137
21,1,47.8706,1.522087,-0.9099765,-1.260589
21,1,47.97065,1.798457,-0.9099753,-1.19482
21,1,48.07072,1.92321,-0.9099752,-1.051547
21,1,48.17072,1.916844,-0.9099753,-1.03686
21,1,48.2817,1.806287,-0.9099752,-1.04325
21,1,48.39285,1.903067,-0.9099756,-1.046902
21,1,48.49287,1.903235,-0.9099758,-1.047458
21,1,48.60381,1.854493,-0.9099756,-0.9271565
21,1,48.70393,1.902052,-0.9099761,-0.5661798
21,1,48.80398,1.904773,-0.9099763,-0.1864278
21,1,48.91495,1.973927,-0.9099758,0.139832
21,1,49.01505,1.979589,-0.9099755,0.4091351
21,1,49.11509,1.993394,-0.9099756,0.6713839
21,1,49.2151,2.040483,-0.9099755,0.9346387
21,1,49.32598,2.127885,-0.9099755,1.200403
21,1,49.42626,2.168876,-0.9099753,1.416663
21,1,49.53715,2.118175,-0.9099752,1.491301
21,1,49.63717,1.998341,-0.9099755,1.456012
21,1,49.73731,1.946552,-0.9099755,1.43832
21,1,49.83879,1.955366,-0.9099755,1.484149
21,1,49.93885,1.964819,-0.9099753,1.510276
21,1,50.04847,1.864539,-0.9099798,1.449712
21,1,50.1594,1.960759,-0.9099765,1.466098
21,1,50.2648,1.832235,-0.9099761,1.458077
21,1,50.37053,1.882691,-0.9099758,1.451157
21,1,50.47102,1.887037,-0.9099761,1.401633
21,1,50.58168,1.80481,-0.9099763,1.371735
21,1,50.68398,1.825017,-0.9099761,1.373718
21,1,50.79329,1.906954,-0.9099755,1.385777
21,1,50.90415,1.826551,-0.9099755,1.387444
21,1,51.01493,1.92142,-0.9099754,1.389117
21,1,51.12594,1.842295,-0.9099755,1.389676
21,1,51.22602,1.842973,-0.9099755,1.389676
21,1,51.32615,1.844095,-0.9099755,1.389676
21,1,51.43711,1.940545,-0.9099754,1.389676
21,1,51.53735,1.942654,-0.9099755,1.389117
21,1,51.64835,1.863467,-0.9099755,1.37719
21,1,51.75917,1.958696,-0.9099755,1.368854
21,1,51.85992,1.965317,-0.9099756,1.367744
21,1,51.97065,1.883756,-0.9099755,1.366541
21,1,52.08176,1.805484,-0.9099755,1.36594
21,1,52.19267,1.901489,-0.9099755,1.341649
21,1,52.30377,1.823236,-0.9099757,1.260152
21,1,52.40505,1.834483,-0.9099762,1.165634
21,1,52.51564,1.927662,-0.9099762,1.001867
21,1,52.62595,1.842393,-0.9099759,0.8181953
21,1,52.72597,1.842577,-0.9099767,0.6260957
21,1,52.83708,1.94035,-0.9099762,0.3830614
21,1,52.93765,1.945321,-0.9099767,0.1897783
21,1,53.03796,1.948033,-0.909977,-0.002348214
21,1,53.14809,1.861178,-0.9099791,-0.1022202
21,1,53.25152,1.891377,-0.9099803,-0.2030061
21,1,53.35993,1.965421,-0.9099793,-0.3567081
21,1,53.46021,1.791848,-0.9099792,-0.4111035
21,1,53.56113,1.799979,-0.909981,-0.4191082
21,1,53.67072,1.884366,-0.9099791,-0.4177073
21,1,53.77086,1.885624,-0.9099776,-0.4370338
21,1,53.87128,1.889244,-0.9099762,-0.4745014
21,1,53.98137,1.802055,-0.9099808,-0.6276318
21,1,54.08184,1.806206,-0.909981,-0.6893538
21,1,54.19244,1.899518,-0.9099803,-0.7234022
21,1,54.29257,1.900625,-0.9099779,-0.6907716
21,1,54.40449,1.829541,-0.9099771,-0.6737419
21,1,54.51495,1.921561,-0.909976,-0.660651
21,1,54.62598,1.842665,-0.909976,-0.5841098
21,1,54.73693,1.939024,-0.9099762,-0.5688048
21,1,54.84794,1.859883,-0.9099779,-0.5773035
21,1,54.94796,1.860107,-0.9099805,-0.5270779
21,1,55.04832,1.863293,-0.9099808,-0.3648532
21,1,55.14883,1.86774,-0.9099791,-0.2495214
21,1,55.26193,1.790023,-0.8196032,-0.2317237
21,1,55.37266,1.662017,-0.479318,-0.2543619
21,1,55.48281,1.558425,-0.4884354,-0.1697373
21,1,55.59314,1.508637,-0.693451,-0.02902013
21,1,55.70346,1.531367,-0.7854997,-0.03224713
21,1,55.80369,1.55593,-0.8126047,-0.1000348
21,1,55.90752,1.522606,-0.7780169,-0.1000331
21,1,56.0159,1.491326,-0.7022657,-0.1499323
21,1,56.12711,1.369976,-0.7817226,-0.2613844
21,1,56.23664,1.369979,-0.6955252,-0.2745119
21,1,56.3373,1.36998,-0.689546,-0.2973133
21,1,56.44804,1.278477,-0.7422403,-0.2591035
21,1,56.55919,0.810177,-0.6562834,-0.1579653
21,1,56.67046,0.1483158,-0.7513838,0.2035777
21,1,56.78134,0.01214033,-0.8338727,0.2017872
21,1,56.88219,0.3838714,-0.8261697,0.1100574
21,1,56.98416,0.6277314,-0.7676302,-0.1936022
21,1,57.09261,0.8862557,-0.6973206,-0.3283915
21,1,57.2033,1.164941,-0.7554013,-0.4715281
21,1,57.30348,1.419219,-0.8145364,-0.5080549
21,1,57.41453,1.386846,-0.7146345,-0.4652569
21,1,57.52576,1.221215,-0.7366484,-0.2962701
21,1,57.63798,0.6405112,-0.6637787,-0.0982253
21,1,57.75085,0.2499751,-0.7479079,0.1737078
21,1,57.85895,0.2646842,-0.6746648,0.176964
21,1,57.97008,0.466632,-0.7548735,0.2062791
21,1,58.08119,0.5299671,-0.8351936,0.2740314
21,1,58.1813,0.5299681,-0.8342163,0.3825972
21,1,58.28132,0.5373906,-0.830493,0.4331614
21,1,58.39224,0.5703264,-0.7250108,0.4112687
21,1,58.50365,0.6409873,-0.7655843,0.2300895
21,1,58.61442,0.9140111,-0.6860217,0.1108005
21,1,58.71472,1.210188,-0.6841074,-0.006210387
21,1,58.82557,1.472956,-0.7933794,-0.09433579
21,1,58.93689,1.64999,-0.693342,-0.09996551
21,1,59.03725,1.650022,-0.6900369,-0.1151462
21,1,59.14778,1.650022,-0.7756566,-0.1549148
21,1,59.25877,1.667218,-0.67413,-0.2248098
21,1,59.36988,1.786879,-0.7152508,-0.4019462
21,1,59.48113,2.121267,-0.9099755,-0.4603146
21,1,59.5816,2.299552,-0.9099755,-0.5487206
21,1,59.69206,2.380898,-0.9099752,-0.5580723
21,1,59.80308,2.386202,-0.9099752,-0.5591464
21,1,59.9145,2.396558,-0.9099753,-0.5541626
21,1,0.3533334,-0.06793237,-0.7254613,0.1800261
21,1,0.4653973,-0.05424973,-0.7971883,0.2023512
21,1,0.566555,-0.01586229,-0.7867247,0.1982486
21,1,0.6768329,0.08040884,-0.6938218,0.1799539
21,1,0.7869107,0.2111633,-0.7835099,0.3343601
21,1,0.8876165,0.2660633,-0.7771385,0.4599696
21,1,0.998421,0.1846327,-0.6794708,0.4599675
21,1,1.106075,-0.1649375,-0.7910609,0.5753697
21,1,1.206748,-0.3100334,-0.7849819,0.7090142
21,1,1.308581,-0.3100239,-0.7684138,0.750516
21,1,1.419406,-0.310023,-0.6705637,0.7463865
21,1,1.52899,-0.3100215,-0.7647194,0.7028472
21,1,1.628998,-0.3100198,-0.764644,0.6982428
21,1,1.729666,-0.340222,-0.7493374,0.6121936
21,1,1.839876,-0.357326,-0.6614646,0.5339146
21,1,1.940112,-0.3698841,-0.8151543,0.4996845
21,1,2.051208,-0.4057738,-0.7182461,0.4269999
21,1,2.151371,-0.4222327,-0.7125959,0.4061505
21,1,2.262531,-0.4419229,-0.7638106,0.3981777
21,1,2.362531,-0.4329614,-0.7678369,0.4103419
21,1,2.462914,-0.6125222,-0.7577939,0.4354142
21,1,2.573445,-0.9962369,-0.6920894,0.5181569
21,1,2.684518,-1.042547,-0.9099766,0.5772345
21,1,2.795519,-1.121744,-0.909977,0.5832453
21,1,2.905268,-1.047951,-0.9099817,0.5025636
21,1,3.016232,-1.126879,-0.9099817,0.413853
21,1,3.116393,-1.128036,-0.9099815,0.4059856
21,1,3.227527,-1.064213,-0.9099809,0.3551598
21,1,3.328634,-1.072181,-0.9099809,0.3563275
21,1,3.428822,-1.073537,-0.9099808,0.3315193
21,1,3.539902,-1.153302,-0.9099806,0.3313818
21,1,3.651036,-1.089475,-0.9099805,0.3392955
21,1,3.751043,-1.089527,-0.9099805,0.3410304
